企業名,対策,CV_F1スコア,テスト_F1スコア,テスト_精度,テスト_適合率,テスト_再現率,テスト_AUC,バランススコア,訓練参加率,テスト参加率,予測参加率,モデルファイル
（有）今村工務所,重み調整,0.5332524829341344,0.5818181818181818,0.9278996865203761,0.43243243243243246,0.8888888888888888,0.9603174603174603,0.43243243243243246,0.062058130400628436,0.05642633228840126,0.11598746081504702,(有)今村工務所_smote_xgboost.pkl
神稲建設（株）,重み調整,0.6328625405808546,0.5740740740740741,0.8557993730407524,0.484375,0.7045454545454546,0.878595041322314,0.484375,0.13275726630007856,0.13793103448275862,0.2006269592476489,神稲建設(株)_smote_xgboost.pkl
金本建設（株）,標準,0.5544265665504604,0.5698324022346368,0.7586206896551724,0.4322033898305085,0.8360655737704918,0.8541746092260771,0.4322033898305085,0.19088766692851533,0.19122257053291536,0.36990595611285265,金本建設(株)_smote_xgboost.pkl
長豊建設（株）,重み調整,0.6491308425483653,0.5660377358490566,0.9278996865203761,0.46875,0.7142857142857143,0.9209012464046022,0.46875,0.06912804399057344,0.06583072100313479,0.10031347962382445,長豊建設(株)_smote_xgboost.pkl
吉川建設（株）,重み調整,0.5668222188770135,0.5614035087719298,0.9216300940438872,0.45714285714285713,0.7272727272727273,0.9427609427609428,0.45714285714285713,0.07384131971720345,0.06896551724137931,0.109717868338558,吉川建設(株)_smote_xgboost.pkl
（株）三六組,重み調整,0.6006665953005889,0.5609756097560976,0.8871473354231975,0.4791666666666667,0.6764705882352942,0.9259029927760578,0.4791666666666667,0.1201885310290652,0.10658307210031348,0.15047021943573669,(株)三六組_smote_xgboost.pkl
道栄建設（株）,重み調整,0.4469381559545494,0.5490196078431373,0.9278996865203761,0.4666666666666667,0.6666666666666666,0.9034835410674337,0.4666666666666667,0.06284367635506677,0.06583072100313479,0.09404388714733543,道栄建設(株)_smote_xgboost.pkl
（株）シノダ,重み調整,0.5212506012506012,0.5316455696202531,0.8840125391849529,0.40384615384615385,0.7777777777777778,0.9323947234906139,0.40384615384615385,0.07619795758051846,0.08463949843260188,0.16300940438871472,(株)シノダ_smote_xgboost.pkl
南部建設（有）,SMOTE,0.9846431310532151,0.5,0.9623824451410659,0.8571428571428571,0.35294117647058826,0.9267627580833658,0.35294117647058826,0.029065200314218383,0.05329153605015674,0.0219435736677116,南部建設(有)_smote_xgboost.pkl
（株）吉野組,SMOTE,0.986381351719,0.5,0.9623824451410659,0.6666666666666666,0.4,0.9315789473684211,0.4,0.0384917517674784,0.047021943573667714,0.02821316614420063,(株)吉野組_smote_xgboost.pkl
高本建設（株）,SMOTE,0.9780868040930853,0.5,0.9498432601880877,0.8,0.36363636363636365,0.9072543617998164,0.36363636363636365,0.0408483896307934,0.06896551724137931,0.03134796238244514,高本建設(株)_smote_xgboost.pkl
（株）尾畑組,重み調整,0.3410932757595669,0.49122807017543857,0.9090909090909091,0.4666666666666667,0.5185185185185185,0.9037290715372907,0.4666666666666667,0.05498821681068342,0.08463949843260188,0.09404388714733543,(株)尾畑組_smote_xgboost.pkl
大協建設（株）,重み調整,0.5264550264550265,0.48484848484848486,0.9467084639498433,0.5,0.47058823529411764,0.9294896766653682,0.47058823529411764,0.051846032992930086,0.05329153605015674,0.050156739811912224,大協建設(株)_smote_xgboost.pkl
宮下建設（有）,SMOTE,0.9886681712528714,0.47619047619047616,0.9655172413793104,0.7142857142857143,0.35714285714285715,0.9255269320843091,0.35714285714285715,0.029065200314218383,0.0438871473354232,0.0219435736677116,宮下建設(有)_smote_xgboost.pkl
（株）片桐工務所,SMOTE,0.9914913888673533,0.46153846153846156,0.9780564263322884,0.75,0.3333333333333333,0.9358422939068101,0.3333333333333333,0.02749410840534171,0.02821316614420063,0.012539184952978056,(株)片桐工務所_smote_xgboost.pkl
伊賀良建設（株）,重み調整,0.41178185466921585,0.45901639344262296,0.896551724137931,0.35,0.6666666666666666,0.9332853946947908,0.35,0.062058130400628436,0.06583072100313479,0.12539184952978055,伊賀良建設(株)_smote_xgboost.pkl
宮嘉建設（有）,重み調整,0.43241436925647453,0.4473684210526316,0.8683385579937304,0.3269230769230769,0.7083333333333334,0.8690677966101695,0.3269230769230769,0.0769835035349568,0.07523510971786834,0.16300940438871472,宮嘉建設(有)_smote_xgboost.pkl
